company_id,company_name,industry_sector,hq_country,hq_location,bid_type,annual_revenue,inquiry_volume
1,Backus,Food & Beverage,Perú,Lima,Direct Negotiation,3938171246,22
2,Servientrega,Logistics & Transport,Colombia,Cali,Spot Quote,2894486723,322
3,Andreani,Logistics & Transport,Argentina,La Plata,Fleet Contract,4769801879,438
4,Mirtrans,Logistics & Transport,Uruguay,Ciudad de la Costa,Spot Quote,1128476729,20
5,Mercado Libre,E-commerce & Retail,Argentina,Buenos Aires,Online Reverse Auction,1006658873,285
6,Mirtrans,Logistics & Transport,Uruguay,Salto,Fleet Contract,3444951049,27
7,Transportes Furlong,Logistics & Transport,Argentina,Mendoza,RFP,4685684151,22
8,Turbus,B2B Services,Chile,Valparaíso,RFP,3590409771,21
9,Grupo Nutresa,Food & Beverage,Colombia,Cartagena,Direct Negotiation,4662134799,38
10,Ute,Energy & Utilities,Uruguay,Ciudad de la Costa,RFP,381816935,38
11,Ambev,Food & Beverage,Brasil,Fortaleza,Direct Negotiation,4121882230,190
12,Ambev,Food & Beverage,Brasil,Fortaleza,Direct Negotiation,3533181064,290
13,Localiza,Car Rental,Brasil,Fortaleza,Quarterly Bid,281235821,963
14,Nuestra Señora de la Asunción,Logistics & Transport,Paraguai,Ciudad del Este,Spot Quote,3089039817,36
15,CMPC,Industrial & Equipment,Chile,Antofagasta,Framework Agreement,4312867437,81
16,Pagnifique,Food & Beverage,Uruguay,Ciudad de la Costa,RFP,4480195816,42
17,Tigo Paraguay,Telecommunications,Paraguai,Luque,Direct Negotiation,308399704,13
18,Tigo Paraguay,Telecommunications,Paraguai,San Lorenzo,Direct Negotiation,2939461007,47
19,Cervepar,Food & Beverage,Paraguai,San Lorenzo,RFP,1937058857,43
20,Ancap,Energy & Utilities,Uruguay,Montevidéu,Framework Agreement,2295431344,50
21,Companhia de Locação das Américas,Car Rental,Brasil,Brasília,Quarterly Bid,3034072484,1144
22,Cervepar,Food & Beverage,Paraguai,Luque,Annual Framework,4544223683,24
